id,name,Fecha,web,longitude,latitude,location
656,Aberdeen.pm,,http://aberdeen.pm.org/,-2.07,57.08,"Aberdeen, Aberdeenshire, United Kingdom, Europe"
657,Paderborn.pm,,http://paderborn.pm.org/,8.75,51.72,"Paderborn, Nordrhein-Westfalen, Ostwestfalen, Germany, Europe"
658,Campinas.pm,,http://campinas.pm.org/,-47.060833,-22.905833,"Campinas, São Paulo, Brazil, South America"
659,BH.pm,,http://bh.pm.org/,-43.93,-19.92,"Belo Horizonte, Minas Gerais, Brazil, South America"
660,Argentina.pm,,http://argentina.pm.org/,-58.43,-34.60,"Buenos Aires, Buenos Aires, Argentina, South America"
662,Groningen.pm,,http://groningen.pm.org/,6.56499,53.21333,"Groningen, Netherlands, Europe"
663,Innsbruck.pm,,http://innsbruck.pm.org/,11.35,47.27,"Innsbruck, Tirol, Austria, Europe"
664,Santiago.pm,,http://santiago.pm.org/,-70.75,-33.47,"Santiago, Santiago, Metropolitana, Chile, South America"
666,Erlangen.pm,,http://www.perlmongers.de/?ErlangenPM,11.00,49.36,"Erlangen, Germany, Europe"
675,MiltonKeynes.pm,,http://miltonkeynes.pm.org,-754,52029,"Milton Keynes, United Kingdom, Europe"
682,Darmstadt.pm,,http://darmstadt.pm.org,8.650483455775188,49.86996423855037,"Darmstadt, Hessen, Germany, Europe"
684,Ruhr.pm,,http://ruhr.pm.org,7.013948,51.460074,"Essen, North Rhine-Westphalia, Germany, Europe"
685,Poznan.pm,,http://poznan.pm.org,16.966667,52.416667,"Poznan, Wielkopolska, Poland, Europe"
687,Kaiserslautern.pm,,http://kaiserslautern.pm.org,7.75,49.45,"Kaiserslautern, Germany, Europe"
689,Coimbatore.pm,,http://coimbatore.pm.org,77.00,11.00,"Coimbatore, Tamilnadu, India, Asia"
695,Sophia.pm,,http://sophia.mongueurs.net,7.120857,43.58064,"Sophia-Antipolis, Antibes, France, Europe"
700,Warszawa.pm,,http://warszawa.pm.org,21.0,52.13,"Warszawa, Poland, Europe"
701,Hannover.pm,,http://hannover.pm.org,9.684716,52.461666,"Hannover, Lower Saxony, Germany, Europe"
702,Kiev.pm,,http://kiev.pm.org,30.50,50.42,"Kiev, Kievskaya, Ukraine, Europe"
703,Szczecin.pm,,http://szczecin.pm.org,14.27,53.27,"Szczecin, Zachodniopomorskie, Poland, Europe"
704,Ithaca.pm,,http://ithaca.pm.org,-76.47,42.48,"Ithaca, New York, northeast USA, United States of America, North America"
706,ThamesValley.pm,,http://thamesvalley.pm.org,-0.9800,51.4500,"Reading, Berkshire (Surrey, Oxfordshire, Hampshire), Thames Valley, United Kingdom, Europe"
709,Tomar.pm,,http://tomar.pm.org,-8.422393798828125,39.59828141820854,"Tomar, Ribatejo, Portugal, Europe"
710,Fukuoka.pm,,http://fukuoka.pm.org,130.401639,33.590278,"Fukuoka, Japan, Asia"
711,Vladivostok.pm,,http://vladivostok.pm.org,131.891867,43.118121,"Vladivostok, Primorsky Krai, Russia, Asia"
713,RostovOnDon.pm,,http://RostovOnDon.pm.org,39.43,47.14,"Rostov-on-Don, Russian Federation, Europe"
714,Minsk.pm,,http://minsk.pm.org,27.56667,53.9,"Minsk, The Republic of Belarus, Europe"
717,Odessa.pm,,http://odessa.pm.org,30.73333,46.46667,"Odessa, OD, Ukraine, Europe"
718,Yokohama.pm,,http://yokohama.pm.org,139.637797,35.443837,"Yokohama, Kanagawa, Japan, Asia"
720,Krasnodar.pm,,http://krasnodar.pm.org,38.98,45.09,"Krasnodar, Krasnodar Krai, Russian Federation, Europe"
721,Fredericton.pm,,http://fredericton.pm.org,-66.646241,45.959363,"Fredericton, New Brunswick, Atlantic Canada, Canada, North America"
726,Tallinn.pm,,http://tallinn.pm.org,24.75,59.433333,"Tallinn, Estonia, Europe"
728,Northwestengland.pm,,http://northwestengland.pm.org,-2.8125,54.0400,"Lancaster/Preston, Lancaster-Fylde-Cheshire, North West England, United Kingdom, Europe"
729,SanCristobal.pm,,http://sancristobal.pm.org,-72.192667,7.808306,"San Cristóbal, Táchira, Occidental, Venezuela, South America"
730,Kostroma.pm,,http://kostroma.pm.org,40.928471,57.768567,"Kostroma, Russian Federation, Europe"
731,Quito.pm,,http://quito.pm.org,-78.78,-0.25,"Quito, Pichincha, Ecuador, South America"
732,Kushiro.pm,,http://kushiro.pm.org,144.381292,42.984799,"Kushiro, Hokkaido, Japan, Asia"
733,Lima.pm,,http://lima.pm.org,-76.9797876,-12.132417,"Lima, Santiago de Surco, Peru, South America"
734,Advent.pm,,http://advent.pm.org,,,"Non-geographical, Non-geographical"
735,Adelaide.pm,,http://adelaide.pm.org,138.599732,-34.92577,"Adelaide, South Australia, Australia, Oceania"
736,Madurai.pm,,http://madurai.pm.org,78.1167,9.9167,"Madurai, Tamil Nadu, India, Asia"
738,Cali.pm,,http://cali.pm.org,-76.52252197265625,3.42294984623391,"Cali, Valle del Cauca, Pacifico, Colombia, South America"
739,BragancaPaulista.pm,,http://BragancaPaulista.pm.org,-46.3231,-22.5707,"Bragança Paulista, São Paulo, Southeast, Brazil, South America"
741,Hokkaido.pm,,http://hokkaido.pm.org,141.346815,43.065956,"Obihiro City, Hokkaido, Japan, Asia"
742,Linz.pm,,http://linz.pm.org,14.286293,48.306074,"Linz, Upper Austria, Austria, Europe"
744,Nagoya.pm,,http://nagoya.pm.org,136.906398,35.1814464,"Nagoya, Aichi Prefacture, Japan, Asia"
745,Kamakura.pm,,http://kamakura.pm.org,139.547524,35.318242,"Kamakura, Kanagawa, Japan, Asia"
747,Kathmandu.pm,,http://kathmandu.pm.org,85.33,27.75,"Kathmandu, Bagmati, Nepal, Asia"
748,TelAviv.pm,,http://telaviv.pm.org,34.802699,32.089494,"Tel Aviv, Israel, Asia"
749,Makati.pm,,http://makati.pm.org,121.019248,14.558513,"Makati, Metro Manila, National Capital Region, Philippines, Asia"
750,Bordeaux.pm,,http://bordeaux.pm.org,-567,44833,"Bordeaux, France, Europe"
753,Petropolis.pm,,http://petropolis.pm.org,-43.178889,-22505,"Petrópolis, Rio de Janeiro, Brazil, South America"
754,Brno.pm,,http://brno.pm.org,16.607530117034912,49.20016789485192,"Brno, South Moravian Region (Jihomoravský kraj,       JM), Czech Republic, Europe"
755,Logan.pm,,http://logan.pm.org,-111.8336111,41.7355556,"Logan, Utah, United States of America, North America"
758,SouthernOregon.pm,,http://SouthernOregon.pm.org/,-122.875595,42.326515,"Medford, Oregon, Southern Oregon, United States of America, North America"
759,Plzen.pm,,http://plzen.pm.org/,13.377397,49.747189,"Plzen, West Bohemia (Západočeský kraj), Czech Republic, Europe"
760,Sendai.pm,,http://sendai.pm.org/,140.869356,38.268215,"Sendai, Miyagi, Japan, Asia"
762,Kerman.pm,,http://kerman.pm.org/,57.247079,30.047564,"Kerman, Kerman, Iran, Asia"
764,Weston.pm,,http://weston.pm.org/,-80.4,26.1,"Weston, Florida, United States of America, North America"
765,Cluj.pm,,http://cluj.pm.org/,23.6,46.7667,"Cluj Napoca, Cluj, Transylvania, Romania, Europe"
766,Niigata.pm,,http://niigata.pm.org/,139.036531,37.915967,"Niigata, Niigata, Japan, Asia"
767,Hardware.pm,,http://hardware.pm.org/,,,"Non-geographical, Non-geographical"
771,Duesseldorf.pm,,http://Duesseldorf.pm.org/,6.783333,51.233333,"Duesseldorf, Northrhine-Westphalia, Germany, Europe"
773,Augsburg.pm,,http://augsburg.pm.org/,10.9067,48.3621,"Augsburg, Bavaria, Germany, Europe"
774,CorpusChristi.pm,,http://CorpusChristi.pm.org/,-97.328793,27.714524,"Corpus Christi, Texas, United States of America, North America"
775,Cochin.pm,,http://cochin.pm.org/,76.3072804,10.0030157,"Cochin, Kerala / Ernakulam, India, Asia"
776,AmsterdamX.pm,,http://AmsterdamX.pm.org/,4.91,52.35,"Amsterdam, Netherlands, Europe"
777,UKCoordinators.pm,,http://UKCoordinators.pm.org/,-1.80098,52.38616,"United Kingdom, Europe"
778,Lukavac.pm,,http://lukavac.pm.org/,18.5167,44.5500,"Lukavac, Bosnia, TK, Bosnia, Europe"
779,Swindon.pm,,http://swindon.pm.org/,-1.7923051,51.5697317,"Swindon, Wiltshire, United Kingdom, Europe"
780,NewTaipeiCity.pm,,http://NewTaipeiCity.pm.org/,121.517488,24.972149,"New Taipei City, Taiwan, Asia"
781,Gdansk.pm,,https://sites.google.com/site/gdanskpm/,18.638306,54.372158,"Gdansk, Poland, Europe"
782,Chico.pm,,http://Chico.pm.org,-121.85,39.73,"Chico, California, United States of America, North America"
